Category: All categories

Month,Formula E: (Worldwide),electric vehicles: (Worldwide)
2004-01,5,8
2004-02,6,9
2004-03,9,10
2004-04,7,14
2004-05,8,11
2004-06,8,10
2004-07,7,9
2004-08,7,7
2004-09,9,8
2004-10,8,9
2004-11,7,7
2004-12,6,7
2005-01,5,8
2005-02,7,7
2005-03,9,8
2005-04,9,9
2005-05,9,8
2005-06,9,7
2005-07,7,7
2005-08,8,9
2005-09,8,12
2005-10,7,8
2005-11,10,8
2005-12,7,5
2006-01,6,5
2006-02,7,6
2006-03,9,7
2006-04,10,9
2006-05,10,8
2006-06,9,7
2006-07,5,9
2006-08,7,8
2006-09,9,6
2006-10,9,6
2006-11,8,6
2006-12,5,5
2007-01,6,6
2007-02,7,7
2007-03,9,7
2007-04,9,8
2007-05,10,9
2007-06,11,8
2007-07,8,8
2007-08,9,6
2007-09,11,6
2007-10,13,7
2007-11,12,8
2007-12,8,7
2008-01,8,6
2008-02,9,7
2008-03,13,8
2008-04,13,10
2008-05,13,14
2008-06,13,16
2008-07,10,13
2008-08,12,12
2008-09,15,9
2008-10,15,8
2008-11,16,7
2008-12,10,7
2009-01,10,7
2009-02,12,7
2009-03,16,7
2009-04,18,8
2009-05,17,8
2009-06,18,8
2009-07,13,7
2009-08,15,9
2009-09,20,9
2009-10,20,10
2009-11,20,9
2009-12,15,9
2010-01,14,7
2010-02,16,8
2010-03,22,7
2010-04,21,8
2010-05,21,7
2010-06,19,7
2010-07,14,8
2010-08,16,6
2010-09,20,6
2010-10,19,6
2010-11,22,7
2010-12,14,6
2011-01,12,7
2011-02,17,7
2011-03,19,7
2011-04,21,8
2011-05,23,7
2011-06,21,6
2011-07,16,6
2011-08,18,6
2011-09,22,6
2011-10,22,7
2011-11,25,7
2011-12,17,6
2012-01,15,6
2012-02,17,7
2012-03,22,7
2012-04,23,7
2012-05,23,6
2012-06,22,6
2012-07,17,6
2012-08,20,5
2012-09,25,6
2012-10,24,6
2012-11,27,6
2012-12,18,5
2013-01,17,5
2013-02,18,6
2013-03,23,6
2013-04,27,6
2013-05,26,5
2013-06,26,5
2013-07,20,5
2013-08,21,5
2013-09,31,5
2013-10,28,5
2013-11,32,5
2013-12,24,4
2014-01,22,5
2014-02,24,5
2014-03,31,5
2014-04,30,6
2014-05,34,5
2014-06,30,5
2014-07,30,5
2014-08,31,5
2014-09,100,5
2014-10,39,5
2014-11,54,5
2014-12,40,5
2015-01,36,4
2015-02,28,5
2015-03,46,5
2015-04,41,6
2015-05,45,5
2015-06,60,5
2015-07,27,5
2015-08,29,4
2015-09,34,5
2015-10,41,5
2015-11,42,5
2015-12,33,5
2016-01,24,5
2016-02,33,5
2016-03,40,5
2016-04,48,7
2016-05,40,5
2016-06,37,5
2016-07,34,5
2016-08,28,5
2016-09,39,5
2016-10,50,6
2016-11,44,6
2016-12,27,5
2017-01,24,6
